Days,Health,Sleep,Exercise
1,5.3,2.71,3.28
2,5.4,3.42,3.37
3,5.2,5.36,2.61
4,6.0,5.18,3.31
5,6.3,4.25,3.58
6,6.5,3.22,3.84
7,8.2,5.84,4.38
8,7.7,3.36,3.22
9,8.1,3.74,3.09
10,6.6,4.12,2.23
11,7.5,5.94,3.14
12,5.9,7.26,2.25
13,5.3,2.71,3.28
14,5.4,3.42,3.37
15,5.2,5.36,2.61
16,6.0,5.18,3.31
17,6.3,4.25,3.58
18,6.5,3.22,3.84
19,5.9,3.51,3.12
20,6.1,3.49,2.76
21,5.8,5.05,2.48
22,6.0,5.61,2.71
23,5.6,5.72,2.75
24,5.6,3.62,2.89
25,5.7,3.67,2.63
26,5.5,3.55,2.66
27,5.6,3.41,3.04
28,5.5,2.31,3.12
29,7.2,2.68,3.88
30,7.3,5.28,3.65
